Date	HH- 47	HH- 48	HH- 01	HH- 02	HH- 03	HH- 04	HH- 05	HH- 06	HH- 07	HH- 08	HH- 09	HH- 10	HH- 11	HH- 12	HH- 13	HH- 14	HH- 15	HH- 16	HH- 17	HH- 18	HH- 19	HH- 20	HH- 21	HH- 22	HH- 23	HH- 24	HH- 25	HH- 26	HH- 27	HH- 28	HH- 29	HH- 30	HH- 31	HH- 32	HH- 33	HH- 34	HH- 35	HH- 36	HH- 37	HH- 38	HH- 39	HH- 40	HH- 41	HH- 42	HH- 43	HH- 44	HH- 45	HH- 46				
02-Jan-12	36.37	36.48	36.14	36.36	35.74	33.58	31.31	31.51	31.42	31.47	30.19	30.05	31.55	31.29	32.3	32.45	34.92	35.16	34.87	35	36.82	36.96	37.09	38.49	45.88	45.14	44.1	43.53	41.31	41.64	41.28	40.46	48.31	49.47	51.45	58.71	67.21	63.71	59.66	58.29	45.92	45.86	45.19	44.38	40.29	39.65	38.54	38.18				
03-Jan-12	36.08	35.74	35.81	35.86	33.66	33.6	33.5	33.44	30.96	30.8	30.17	29.97	30.95	30.88	32.13	35.09	41.04	41.1	41.6	42.28	47.37	45.95	46.24	46.67	49.67	49.69	49.9	49.37	44.24	43.89	43.03	42.8	43.02	42.85	49.79	58.23	61.23	59.96	57.96	54.97	45.65	44	42.39	41.64	38.62	38.39	37.64	37.27				
04-Jan-12	35.32	34.68	35.17	35.02	32.82	31.73	30.85	30.95	31.1	30.61	30.58	30.49	30.56	30.63	34.07	34.57	42.37	42.63	40.2	40.18	42.57	42.85	43.67	42.99	41.77	40.89	42.1	41.83	40.23	40.14	39.83	39.66	43.77	45.16	50.47	56.97	58.19	56.84	52.66	52.32	40.93	41.3	41.32	41.19	39.24	38.66	37.74	37.25				
05-Jan-12	36.21	36.4	36.26	36.33	35.43	34.34	33.33	33.56	34.14	32.67	32.59	32.26	33.03	32.95	36.59	36.88	42.69	43.76	43.98	42.33	42.46	42.32	42.19	43.03	48.46	49.05	50.83	50.47	43.39	42.96	42.7	41.35	40.09	40.06	46.9	56.09	59.85	59.21	54.76	53.72	41.94	41.11	42.34	42.2	42.56	39.85	36.93	35.84				
06-Jan-12	32.76	32.44	32.78	32.75	32.4	32.39	32.75	32.69	32.86	31.92	31.84	31.95	32.1	31.98	33.62	33.7	42.75	44.31	43.22	40.92	44.84	45.36	51.52	49.6	51.22	47.68	52.92	51.44	44.12	43.76	42.25	42.42	45.65	45.61	49.56	55.23	54.44	54.99	53.05	52.63	40.57	40.42	40.42	40.13	39.84	39.9	39.8	39.36				
09-Jan-12	31.75	30.95	31.5	32.12	31.93	31.77	31.48	31.79	30.84	30.85	31.05	30.86	33.73	33.4	36.7	37.56	43.15	45.74	44.47	42.95	44.4	44.02	43.76	44.33	44.74	44.77	45.12	44.48	40.51	40.01	40.86	39.81	43.02	44.08	48.97	58.96	60.07	59.03	59.39	55.77	43.57	44.56	45.33	44.92	43.03	43.47	41.38	40.48				
10-Jan-12	34.7	34.3	34.48	34.12	33.6	32.19	31.84	31.67	31.61	31.47	31.69	31.73	34.59	34.55	33.37	34.15	46.05	46.81	46.75	46.96	49.28	49.13	48.2	48.16	49.87	50.22	49.69	48.47	45.9	45.97	45.81	46.33	44.56	44.21	46.56	55.74	53.59	48.98	45.39	43.47	39.69	39.11	39.59	39.22	40.02	38.84	38.19	37.21				
11-Jan-12	30.61	30.61	30.87	31.82	32.25	32.13	30.61	30.93	30.32	30.23	30.64	30.59	35.25	34.92	35.13	36.09	44.9	46.17	44.75	41.51	45.16	44.33	42.84	42.05	41.92	41.33	40.91	41.63	40.76	40.61	40.55	39.61	38.61	39.25	42.99	60.25	55.61	49.87	49.14	46.52	41.45	40.49	40.64	39.85	37.75	36.55	36.18	37.28				
12-Jan-12	33.12	32.77	31.24	31.64	30.17	29.96	29.83	30.36	29.83	29.72	29.7	29.63	32.54	31.49	34.46	35.03	40.86	40.85	40.82	40	40.03	43.56	39.96	40.19	38.8	38.84	38.21	37.98	38.55	38.44	38.45	38.32	48.16	46.94	43.32	63.62	72.07	59.22	58.23	53.38	44.31	43.33	41.54	40.36	42.25	39.68	40.17	38.24				
13-Jan-12	35.85	35.76	37.17	37.03	37.1	36.36	35.02	34.94	32.5	32.1	32.23	30.9	32.72	31.97	34.4	37.82	44.53	45.33	45.29	46.08	49.92	51.36	50.65	51.27	52.05	51.96	51.32	50.65	47.73	45.16	42.93	42.75	42.92	42.81	43.99	60.32	72.97	71.16	62.97	60.9	46.03	45.52	44.17	42.4	41.38	41.56	41.46	40.64				
16-Jan-12	39.11	38.39	39.5	39.56	40.49	38.49	38.23	38.75	37.97	37.58	36.65	36.66	39.79	38.38	43.57	43.56	51.02	53.16	57.42	58.02	52.02	52.56	53.46	53.41	52.17	52.28	52.24	52.18	49.17	49.39	48.6	48.33	47.97	48.11	48.04	58.07	58.24	57.57	56.35	56.06	43.78	44.09	43.77	43.76	42.18	41.65	40.99	39.44				
17-Jan-12	36.55	37.54	39.07	39.12	37.71	37.6	37.46	37.68	38.43	38.73	38.38	36.72	40.02	38.81	41.17	42.03	53.56	53.15	52.81	49.45	46.51	46.42	47.18	47.16	43.53	42.97	41.9	41.91	41.56	41.97	42.1	41.56	47.81	48.45	47.4	58.79	60.38	59.48	58.05	58.08	44.38	43.86	43.19	43.49	41.65	41.06	40.02	39.22				
18-Jan-12	36.89	36.94	37.35	37.45	36.38	35.68	35.64	35.66	35.36	35.14	34.72	34.69	37.7	37.7	39.82	41.47	51.84	51.05	53.41	51.64	51.38	52.06	52.85	52.72	45.69	44.93	44.97	44.06	43.77	43.17	43.75	42.99	44.69	45.45	48.63	60.06	66.13	67.59	60.24	53.35	45.94	45.39	43.15	45.25	43.16	41.55	40.35	39.48				
19-Jan-12	33.53	34.84	33.76	32.84	33.43	31.8	30.4	30.69	30.68	30.31	31.02	31.08	33.82	34.31	35.6	38.1	49.6	48.02	47.91	47.45	45.78	45.74	45.62	45.72	42.46	42.36	42.36	42.23	40.66	39.8	39.4	38.77	42.43	41.19	42.3	55.88	58.31	56.86	54.45	52.25	42.15	41.67	41.94	40.86	39.92	38.93	39.16	38.77				
